Fecha;Hora;Temperatura
45236,79;6666667;5.037
45236,83;3333333;4.727
45236,87;;4.727
45236,91;6666667;4.519
45236,95;3333333;4.102
45266;;4.102
45266,04;6666667;4.311
45266,08;3333333;4.311
45266,12;;4.207
45266,16;6666667;4.102
45266,2;3333333;3.998
45266,25;;3.788
45266,29;6666667;3.788
45266,33;3333333;5.552
45266,37;;8.182
45266,41;6666667;9.275
45266,45;3333333;10.161
45266,5;;11.139
45266,54;6666667;11.236
45266,58;3333333;15.664
45266,62;;9.571
45266,66;6666667;7.782
45266,7;3333333;7.682
45266,75;;5.655
45266,79;6666667;5.037
45266,83;3333333;4.623
45266,87;;4.207
45266,91;6666667;3.683
45266,95;3333333;3.683
06/13/23;12:00:00;3.683
06/13/23;1:00:00;3.683
06/13/23;2:00:00;3.788
06/13/23;3:00:00;3.683
06/13/23;4:00:00;3.683
06/13/23;5:00:00;3.261
06/13/23;6:00:00;2.837
06/13/23;7:00:00;3.155
06/13/23;8:00:00;4.727
06/13/23;9:00:00;6.37
06/13/23;10:00:00;7.983
06/13/23;11:00:00;9.669
06/13/23;12:00:00;11.528
06/13/23;1:00:00;13.173
06/13/23;2:00:00;12.594
06/13/23;3:00:00;7.481
06/13/23;4:00:00;12.594
06/13/23;5:00:00;9.373
06/13/23;6:00:00;7.28
06/13/23;7:00:00;4.831
06/13/23;8:00:00;4.311
06/13/23;9:00:00;3.683
06/13/23;10:00:00;3.788
06/13/23;11:00:00;4.207
06/14/23;12:00:00;4.311
06/14/23;1:00:00;4.519
06/14/23;2:00:00;4.727
06/14/23;3:00:00;3.998
06/14/23;4:00:00;3.788
06/14/23;5:00:00;3.998
06/14/23;6:00:00;3.893
06/14/23;7:00:00;3.788
06/14/23;8:00:00;4.415
06/14/23;9:00:00;5.45
06/14/23;10:00:00;5.552
06/14/23;11:00:00;6.674
06/14/23;12:00:00;7.782
06/14/23;1:00:00;9.472
06/14/23;2:00:00;8.879
06/14/23;3:00:00;9.472
06/14/23;4:00:00;8.082
06/14/23;5:00:00;6.674
06/14/23;6:00:00;5.037
06/14/23;7:00:00;4.623
06/14/23;8:00:00;4.207
06/14/23;9:00:00;3.998
06/14/23;10:00:00;4.207
06/14/23;11:00:00;4.311
06/15/23;12:00:00;4.207
06/15/23;1:00:00;4.102
06/15/23;2:00:00;3.998
06/15/23;3:00:00;3.998
06/15/23;4:00:00;3.998
06/15/23;5:00:00;4.207
06/15/23;6:00:00;4.207
06/15/23;7:00:00;4.519
06/15/23;8:00:00;5.141
06/15/23;9:00:00;6.573
06/15/23;10:00:00;8.382
06/15/23;11:00:00;8.182
06/15/23;12:00:00;8.779
06/15/23;1:00:00;8.68
06/15/23;2:00:00;7.983
06/15/23;3:00:00;7.179
06/15/23;4:00:00;6.166
06/15/23;5:00:00;5.45
06/15/23;6:00:00;4.831
06/15/23;7:00:00;4.311
06/15/23;8:00:00;3.998
06/15/23;9:00:00;4.102
06/15/23;10:00:00;4.102
06/15/23;11:00:00;4.102
06/16/23;12:00:00;4.207
06/16/23;1:00:00;4.207
06/16/23;2:00:00;4.102
06/16/23;3:00:00;3.998
06/16/23;4:00:00;3.683
06/16/23;5:00:00;3.788
06/16/23;6:00:00;3.893
06/16/23;7:00:00;3.893
06/16/23;8:00:00;4.311
06/16/23;9:00:00;4.934
06/16/23;10:00:00;5.757
06/16/23;11:00:00;5.86
06/16/23;12:00:00;7.381
06/16/23;1:00:00;8.978
06/16/23;2:00:00;10.651
06/16/23;3:00:00;10.357
06/16/23;4:00:00;8.182
06/16/23;5:00:00;6.166
06/16/23;6:00:00;5.037
06/16/23;7:00:00;4.102
06/16/23;8:00:00;3.998
06/16/23;9:00:00;3.788
06/16/23;10:00:00;3.578
06/16/23;11:00:00;3.472
06/17/23;12:00:00;3.367
06/17/23;1:00:00;3.155
06/17/23;2:00:00;2.943
06/17/23;3:00:00;2.943
06/17/23;4:00:00;3.049
06/17/23;5:00:00;3.155
06/17/23;6:00:00;2.943
06/17/23;7:00:00;3.049
06/17/23;8:00:00;3.998
06/17/23;9:00:00;5.037
06/17/23;10:00:00;6.573
06/17/23;11:00:00;6.37
06/17/23;12:00:00;7.28
06/17/23;1:00:00;6.37
06/17/23;2:00:00;7.381
06/17/23;3:00:00;7.782
06/17/23;4:00:00;6.775
06/17/23;5:00:00;4.623
06/17/23;6:00:00;3.261
06/17/23;7:00:00;2.73
06/17/23;8:00:00;2.837
06/17/23;9:00:00;3.049
06/17/23;10:00:00;3.049
06/17/23;11:00:00;3.049
06/18/23;12:00:00;3.049
06/18/23;1:00:00;3.049
06/18/23;2:00:00;2.943
06/18/23;3:00:00;2.943
06/18/23;4:00:00;2.837
06/18/23;5:00:00;2.517
06/18/23;6:00:00;2.088
